,,,EARL Dominique GRUHIER,
,,,Rue du Clos de Quincy,
,,,89700 EPINEUIL,
Analysé le 03/07/2019,,,,
RAPPORT D'ANALYSES,,,,
N° Labo,,190703011,,
Appellation,,Bourgogne Epineuil,,
Référence,,LR182,,
Couleur,,Rouge,,
Millesime,,2018,,
N° cuve,,-,,
Volume,,-,,
Degré alcoolique,% Vol,,13.39,
Glucose-Fructose,g/L,,1.1,
,% Vol,,0.06,
Degré en puissance,,,,
Acidité totale,g/L H 2 SO 4,,3.23,
m éq/L,,,65.86,
Acidité volatile,g/L H 2 SO 4,,0.52,
,,m éq/L,10.60,
SO2 Libre,,m g/L,15,
SO2 Total,,m g/L,38,
pH,,,3.60,
CO2,,m g/L,545,
,,,,"Jean Michel HERBER, Oenologue"
,,,,1/1
,"SITE TECHNIQUE 1
LABORATOIRE AOC",,"SIEGE
VITINE SÉLECTIONS","SITE TECHNIQUE 2
LABORATOIRE AOC"
,"48, Rue Georges Guynemer - 21200 BEAUNE",,"1, rue Jacques Vincent - 21200 BEAUNE","46, rue Paul Cannier - 18300 SAINT SATUR"
,Tél : 03 80 24 11 19 - Mail : analyses@labo-aoc.fr,,Tél : 03 80 24 11 19 - Mail : vitine@wanadoo.fr,Tél 02 48 78 02 93 - Mail : aoc2@wanadoo.fr
,,RC BEAUNE – SIRET 432 823 458 00018 – APE 7120 B – S.A.R.L. au capital de 8.000 Euros,,
