RAPPORT D'ANALYSES,,EARL DU DOMAINE CHEVROT ET FILS,,
CERTIFICATE OF ANALYSIS,,"19, route de Couches",,
,,71150 CHEILLY LES MARANGES,,
Echantillon N° :,19-04504,,,page n° 1/1
Date réception :,11/3/2019,,,
"Date analyse :
Appellation**:
Couleur**:","11/3/2019
CREMANT DE BOURGOGNE BRUT
Blanc",,,
,ANALYSE,,UNITE,RESULTAT
*Titre alcoométrique volumique,,,% vol.,"12,00"
IRTF,,,,
"*Glucose Fructose
Enzymatique par analyseur séquentiel",,,g/L,"6,3"
*Acidité volatile,,g/L acide acétique,,"0,45"
Flux continu KI-KIO3,,,,
*Acidité totale,,g/L acide tartrique,"7,15",
Titrimétrie potentiométrique automatisée,,,,
*SO2 Libre,,mg/L,< LQ (3),
Colorimétrie par analyseur séquentiel,,,,
*SO2 Total,,mg/L,32,
Colorimétrie par analyseur séquentiel,,,,
*Surpression,,Bars,"6,2",
Aphrométrie,,,,
*Masse Volumique,,Kg/L,"0,9918",
IRTF,,,,
*Extrait sec total,,g/L,"24,2",
Densimétrie,,,,
*Acide sorbique,,,Non détecté,
Chromatographie papier,,,,
Acide salicylique,,,Non détecté,
Chromatographie papier,,,,
L'accréditation COFRAC atteste uniquement de la compétence du Laboratoire pour les analyses figurant avec un astérisque (*) sur le présent rapport. Elle ne couvre pas l'interprétation et/ou la conclusion qui relève(nt),,,,
de la compétence propre du laboratoire. La reproduction de ce rapport n'est autorisée que sous sa forme intégrale. Le présent rapport ne concerne que les objets soumis à l'analyse. Les résultats d'analyses s'appliquent,,,,
à l'échantillon tel qu'il a été reçu. Les informations identififées par ** sont fournies par le client. LD=Limite de détection. LQ=Limite de quantification.,,,,
,,,"A Beaune, le Lundi 11 Mars 2019 à 16h 17min 00s",
"Laboratoire agréé par la Direction Générale de la Concurrence,",,,,
"de la Consommation et de la Répression des Fraudes, pour la délivrance",,,,
de certificats d'analyses relatifs aux vins destinés à l'exportation.,,,,
